"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"AspirationOn"
"01/17/2020 16:30:59:252 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","officeRole","changeAspiration","b1","EWProbDecay","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"121","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0","0","1001","11","0","0","0","0","0","0","0","11","0"
"126","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0","0.01","1001","7","0","0","0","0","0","0","0","7","0"
"124","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0","0","1001","13","0","0","0","0","0","0","0","13","0"
"127","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0","0.01","1001","13","0","0","0","0","0","0","0","13","0"
"129","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0","0.01","1001","8","0","0","0","0","0","0","0","8","0"
"123","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0","0","1001","8","0","0","0","0","0","0","0","8","0"
"130","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0","0.01","1001","0","0","0","0","0","0","0","0","0","0"
"131","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0","0.02","1001","3","0","0","0","0","0","0","0","3","0"
"128","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0","0.01","1001","15","0","0","0","0","0","0","0","15","0"
"125","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0","0","1001","8","0","0","0","0","0","0","0","8","0"
"132","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0","0.02","1001","2","0","0","0","0","0","0","0","2","0"
"137","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0","0.03","1001","4","0","0","0","0","0","0","0","4","0"
"138","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0","0.03","1001","11","0","0","0","0","0","0","0","11","0"
"133","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0","0.02","1001","10","0","0","0","0","0","0","0","10","0"
