"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"baseline"
"06/07/2020 02:47:23:297 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpt","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","memory","disasterUti","EWProbDecay","openOpt?","triggerNetwork?","randomRiskThresh?","officeRole?","randomOrgOpt?","randomBoost?","limitedFund?","enoughCap?","orgOptGen","[step]","count orgs with [adaptation-change?]","totalFunding","fundAvailable","totalOpportunitiesMissed","totalOptOpen","totalInsufBoost","totalNoSolution","totalDisasterOpportunities","totalUtilizedDisasterOpportunities","totalUtilizedOpportunities","totalNeededOpportunities","sufficientCap","totalUtilized"
"95","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","41","13138.073647563966","38217","1426","2099","106","12","1125","7","21","21","20","0"
"96","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","49","13026.82234727594","38217","1324","2006","56","9","1105","7","20","20","29","0"
"99","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","46","12598.675362899954","38217","1115","1982","117","18","1121","11","22","22","24","0"
"102","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","40","12777.035874711919","38217","1366","1980","118","10","1108","7","18","18","22","0"
"103","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","50","12304.03810432794","38217","1214","1918","87","2","1071","10","25","25","25","0"
"104","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","34","12888.696542839964","38217","1396","1979","94","4","1071","4","16","16","18","0"
"105","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","48","12603.032300103956","38217","1166","2026","131","6","1140","9","23","23","25","0"
"106","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","52","12558.29085087994","38217","1234","1973","62","14","1089","8","23","23","29","0"
"108","0.62","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","39","12201.535049575952","38217","1387","1941","82","1","1077","10","19","19","20","0"
"111","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","47","12770.186409387965","38217","1310","2009","78","5","1134","10","24","24","23","0"
"109","0.6","4","10","0.3","4","4","1000","1","48","0.3","0.03","true","true","true","true","true","true","false","false","""allRandom""","1000","37","12287.26977667598","38217","1280","1939","84","7","1069","5","19","19","18","0"
