"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"decayMemory"
"06/10/2020 21:56:16:729 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","numOpts","impactReductionRate","adaptationCost","capBoost","simTicks","minNeighbor","increaseChance","memory","disasterUti","EWProbDecay","randomChance","startingFund","openOpt?","triggerNetwork?","officeRole?","randomRiskThresh?","randomOrgOpt?","limitedFund?","randomBoost?","enoughCap?","[step]","count orgs with [adaptation-change?]","totalFunding"
"119","0.52","4","10","0.3","4","4","1000","1","0.01","48","0.3","0.018","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","58","10658.477742231964"
"155","0.52","4","10","0.3","4","4","1000","1","0.01","2","0.3","0.048","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","36","9548.296746135977"
"156","0.52","4","10","0.3","4","4","1000","1","0.1","2","0.3","0.048","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","34","10658.983253479968"
"150","0.52","4","10","0.3","4","4","1000","1","0.1","6","0.3","0.042","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","35","10658.993390775964"
"120","0.52","4","10","0.3","4","4","1000","1","0.1","48","0.3","0.018","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","69","10658.94664115197"
"157","0.52","4","10","0.3","4","4","1000","1","0.01","6","0.3","0.048","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","41","10658.134354295964"
"161","0.52","4","10","0.3","4","4","1000","1","0.01","1","0.3","0.054","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","42","8004.567493140002"
"158","0.52","4","10","0.3","4","4","1000","1","0.1","6","0.3","0.048","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","33","10658.941360455967"
"162","0.52","4","10","0.3","4","4","1000","1","0.1","1","0.3","0.054","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","34","10658.951986551976"
"127","0.52","4","10","0.3","4","4","1000","1","0.01","48","0.3","0.024","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","63","10658.013094575972"
"164","0.52","4","10","0.3","4","4","1000","1","0.1","2","0.3","0.054","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","49","10658.963601451971"
"163","0.52","4","10","0.3","4","4","1000","1","0.01","2","0.3","0.054","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","45","8723.708011599989"
"169","0.52","4","10","0.3","4","4","1000","1","0.01","1","0.3","0.06","2.0E-4","10659","true","true","true","true","false","true","true","false","1000","38","8056.476684387999"
