"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"AspirationOn"
"02/02/2020 00:02:46:083 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","officeRole","memory","b1","disasterUti","EWProbDecay","open-windows?","change-aspiration?","trigger-network?","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"99","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","0","0.01","true","true","true","1001","15","0","366","20","366","35","0","0","15","0"
"101","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","0","0.02","true","true","true","1001","0","0","334","82","334","55","0","0","0","0"
"107","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","0.3","0.01","true","true","true","1001","33","73","311","18","311","20","14","14","19","14"
"154","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.6","1","0","true","false","true","1001","48","247","297","7","297","7","36","36","12","36"
"105","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","0.3","0","true","true","true","1001","41","57","304","1","304","13","21","21","20","21"
"156","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.6","1","0.01","true","false","true","1001","22","238","336","35","336","42","21","21","1","21"
"158","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.6","1","0.02","true","false","true","1001","30","165","315","101","315","21","28","28","2","28"
"160","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.6","1","0.03","true","false","true","1001","13","46","325","263","325","8","8","8","5","8"
"109","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","0.3","0.02","true","true","true","1001","28","57","313","90","313","12","20","20","8","20"
"162","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","1","0","0","true","false","true","1001","10","0","328","5","328","51","0","0","10","0"
"103","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","0","0.03","true","true","true","1001","1","0","334","217","334","39","0","0","1","0"
"164","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","1","0","0.01","true","false","true","1001","18","0","340","30","340","20","0","0","18","0"
"111","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","0.3","0.03","true","true","true","1001","6","24","340","239","340","24","2","2","4","2"
"166","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","1","0","0.02","true","false","true","1001","5","0","344","119","344","30","0","0","5","0"
"113","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","0.6","0","true","true","true","1001","35","135","289","20","289","5","25","25","10","25"
"168","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","1","0","0.03","true","false","true","1001","6","0","333","257","333","15","0","0","6","0"
"115","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","0.6","0.01","true","true","true","1001","39","140","312","25","312","15","24","24","15","24"
"119","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.3","0.6","0.03","true","true","true","1001","16","53","324","236","324","0","6","6","10","6"
"129","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","0.6","0","0","true","true","true","1001","15","0","318","0","318","25","0","0","15","0"
"170","0.4","4","0.08","0","0.25","0.4","6.5","2","1000","1","1","36","1","0.3","0","true","false","true","1001","18","64","326","7","326","18","9","9","9","9"
