"","meanRIskThreshold","scanningRange","numWindows","badImpact","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","param_set_id","copingNum","adaptNum","insufBoost","disasterWindows","windowMissed","windowsOpen","noSolution","utilizedWindows","NeededWidows","notNeeded","run_id","run_duration"
"152",0.4,4,2.64854592480697,0.08,0.25,0.4,6.5,2.5,1000,1,7,132,9,39,303,126,176,4,7,7,2,5,13.1200888156891
"153",0.4,4,2.64854592480697,0.08,0.25,0.4,6.5,2.5,1000,1,7,133,16,36,306,135,187,5,11,11,5,7,13.8729319572449
"154",0.4,4,2.64854592480697,0.08,0.25,0.4,6.5,2.5,1000,1,7,138,11,31,283,132,176,9,4,4,7,9,14.8490328788757
"155",0.4,4,2.64854592480697,0.08,0.25,0.4,6.5,2.5,1000,1,7,139,9,49,278,139,199,3,8,8,1,11,15.5831389427185
"156",0.4,4,2.64854592480697,0.08,0.25,0.4,6.5,2.5,1000,1,7,137,7,36,279,133,186,11,6,6,1,13,16.853009223938
"157",0.4,4,2.64854592480697,0.08,0.25,0.4,6.5,2.5,1000,1,7,123,20,28,265,122,167,6,11,11,9,2,16.8843104839325
"158",0.4,4,2.64854592480697,0.08,0.25,0.4,6.5,2.5,1000,1,7,123,21,43,293,128,186,5,10,10,11,4,18.79936170578
"159",0.4,4,2.64854592480697,0.08,0.25,0.4,6.5,2.5,1000,1,7,132,20,53,293,129,194,4,8,8,12,6,13.8853130340576
"160",0.4,4,2.64854592480697,0.08,0.25,0.4,6.5,2.5,1000,1,7,138,9,37,311,124,190,20,9,9,0,8,12.7037012577057
"161",0.4,4,2.64854592480697,0.08,0.25,0.4,6.5,2.5,1000,1,7,130,18,48,226,149,205,2,6,6,12,10,10.4992129802704
"162",0.4,4,2.64854592480697,0.08,0.25,0.4,6.5,2.5,1000,1,7,139,20,38,283,111,163,4,10,10,10,12,40.6893630027771
"163",0.4,4,2.64854592480697,0.08,0.25,0.4,6.5,2.5,1000,1,7,140,22,34,286,116,174,8,16,16,6,1,33.5625960826874
"164",0.4,4,2.64854592480697,0.08,0.25,0.4,6.5,2.5,1000,1,7,117,18,41,246,137,192,4,10,10,8,16,23.3402950763702
"165",0.4,4,2.64854592480697,0.08,0.25,0.4,6.5,2.5,1000,1,7,146,10,33,261,141,200,20,6,6,4,18,17.9145939350128
"166",0.4,4,2.64854592480697,0.08,0.25,0.4,6.5,2.5,1000,1,7,121,9,43,290,132,185,7,3,3,6,20,20.1809930801392
"167",0.4,4,2.64854592480697,0.08,0.25,0.4,6.5,2.5,1000,1,7,122,24,34,304,110,162,2,16,16,8,22,27.5301661491394
"168",0.4,4,2.64854592480697,0.08,0.25,0.4,6.5,2.5,1000,1,7,127,18,63,276,115,191,1,12,12,6,24,17.7198255062103
"169",0.4,4,2.64854592480697,0.08,0.25,0.4,6.5,2.5,1000,1,7,132,25,36,240,119,169,2,12,12,13,21,17.2645611763
"170",0.4,4,2.64854592480697,0.08,0.25,0.4,6.5,2.5,1000,1,7,128,24,35,265,136,194,7,16,16,8,15,15.9392092227936
"171",0.4,4,2.64854592480697,0.08,0.25,0.4,6.5,2.5,1000,1,7,139,14,32,280,164,213,10,7,7,7,17,14.9713950157166
"172",0.4,4,2.64854592480697,0.08,0.25,0.4,6.5,2.5,1000,1,7,134,20,31,287,126,173,7,9,9,11,19,13.2906048297882
"173",0.4,4,2.64854592480697,0.08,0.25,0.4,6.5,2.5,1000,1,7,122,14,40,258,141,192,1,10,10,4,23,11.6058876514435
"174",0.4,4,2.64854592480697,0.08,0.25,0.4,6.5,2.5,1000,1,7,136,11,32,274,135,182,7,8,8,3,25,17.7981767654419
"175",0.4,4,2.64854592480697,0.08,0.25,0.4,6.5,2.5,1000,1,7,138,11,35,294,134,182,6,7,7,4,14,18.1780383586884
"176",0.4,4,9.65363495890051,0.08,0.25,0.4,6.5,2.5,1000,1,8,133,24,184,286,643,868,20,21,21,3,11,18.7202904224396
"177",0.4,4,9.65363495890051,0.08,0.25,0.4,6.5,2.5,1000,1,8,128,32,152,278,556,747,13,26,26,6,1,15.9998345375061
